Noise,SNR,Model,EER,Filter,Window_Size
rayleigh,10,redimnet,0.1488683811019861,savgol,12
rayleigh,15,campplus,0.14704758443413657,savgol,12
rayleigh,15,ecapa_tdnn,0.11948403674571878,savgol,12
rayleigh,15,redimnet,0.1405799975312007,savgol,12
rayleigh,20,campplus,0.1456016509784911,savgol,12
rayleigh,20,ecapa_tdnn,0.11087773145948551,savgol,12
rayleigh,20,redimnet,0.13254071467736905,savgol,12
rayleigh,5,campplus,0.15964512307636364,savgol,12
rayleigh,5,ecapa_tdnn,0.1482388714355154,savgol,12
rayleigh,5,redimnet,0.159388430021637,savgol,12
AirConditioner,0,campplus,0.41656278633971794,savgol,25
AirConditioner,0,ecapa_tdnn,0.32812826586695987,savgol,25
AirConditioner,0,redimnet,0.4146816431141648,savgol,25
AirConditioner,10,campplus,0.37064618503076885,savgol,25
AirConditioner,10,ecapa_tdnn,0.27438646687622925,savgol,25
AirConditioner,10,redimnet,0.35692261691525257,savgol,25
AirConditioner,15,campplus,0.3414103645743428,savgol,25
AirConditioner,15,ecapa_tdnn,0.2481966151757315,savgol,25
AirConditioner,15,redimnet,0.3215080606668078,savgol,25
AirConditioner,20,campplus,0.3080527887038682,savgol,25
AirConditioner,20,ecapa_tdnn,0.22179210018270815,savgol,25
AirConditioner,20,redimnet,0.283146778000575,savgol,25
AirConditioner,5,campplus,0.3957085882393958,savgol,25
AirConditioner,5,ecapa_tdnn,0.3007066440108312,savgol,25
AirConditioner,5,redimnet,0.38817081547991905,savgol,25
Babble,0,campplus,0.32400270684504384,savgol,25
Babble,0,ecapa_tdnn,0.32542283932655025,savgol,25
Babble,0,redimnet,0.30444105922953113,savgol,25
Babble,10,campplus,0.23618873234160526,savgol,25
Babble,10,ecapa_tdnn,0.21977401356684717,savgol,25
Babble,10,redimnet,0.22119507986661324,savgol,25
Babble,15,campplus,0.20797135857328083,savgol,25
Babble,15,ecapa_tdnn,0.18717875616656954,savgol,25
Babble,15,redimnet,0.19524017378807185,savgol,25
Babble,20,campplus,0.18738139311851754,savgol,25
Babble,20,ecapa_tdnn,0.1637604867512621,savgol,25
Babble,20,redimnet,0.17593139512405448,savgol,25
Babble,5,campplus,0.2742940957976491,savgol,25
Babble,5,ecapa_tdnn,0.2665660572546906,savgol,25
Babble,5,redimnet,0.2565509602772266,savgol,25
gaussian,0,campplus,0.2635614591723234,savgol,25
gaussian,0,ecapa_tdnn,0.20335181133113545,savgol,25
gaussian,0,redimnet,0.23666516158587161,savgol,25
gaussian,10,campplus,0.21772803640174238,savgol,25
gaussian,10,ecapa_tdnn,0.16278884278618053,savgol,25
gaussian,10,redimnet,0.1895393818462533,savgol,25
gaussian,15,campplus,0.20090238588447315,savgol,25
gaussian,15,ecapa_tdnn,0.15184241993158137,savgol,25
gaussian,15,redimnet,0.17726795118368177,savgol,25
gaussian,20,campplus,0.1924941877724914,savgol,25
gaussian,20,ecapa_tdnn,0.1456794039202362,savgol,25
gaussian,20,redimnet,0.16872534516119897,savgol,25
gaussian,5,campplus,0.24230895288107301,savgol,25
gaussian,5,ecapa_tdnn,0.17908976578295843,savgol,25
gaussian,5,redimnet,0.20874860340885643,savgol,25
Neighbor,0,campplus,0.3318565800235911,savgol,25
Neighbor,0,ecapa_tdnn,0.33141332126245504,savgol,25
Neighbor,0,redimnet,0.33679674348297406,savgol,25
Neighbor,10,campplus,0.22271676657162987,savgol,25
Neighbor,10,ecapa_tdnn,0.2165102931406712,savgol,25
Neighbor,10,redimnet,0.23199606523455144,savgol,25
Neighbor,15,campplus,0.19246922762134483,savgol,25
Neighbor,15,ecapa_tdnn,0.1806921979937822,savgol,25
Neighbor,15,redimnet,0.20079189365400502,savgol,25
Neighbor,20,campplus,0.17413758242953234,savgol,25
Neighbor,20,ecapa_tdnn,0.15659108750976625,savgol,25
Neighbor,20,redimnet,0.18031612877150993,savgol,25
Neighbor,5,campplus,0.2708083347035616,savgol,25
Neighbor,5,ecapa_tdnn,0.2683672945728656,savgol,25
Neighbor,5,redimnet,0.2784380393407698,savgol,25
poisson,0,campplus,0.24465874361880793,savgol,25
poisson,0,ecapa_tdnn,0.20414474775862748,savgol,25
poisson,0,redimnet,0.2661059370654408,savgol,25
poisson,10,campplus,0.2104764275861889,savgol,25
poisson,10,ecapa_tdnn,0.16192100622787914,savgol,25
poisson,10,redimnet,0.18153231449561696,savgol,25
poisson,15,campplus,0.20096908536691072,savgol,25
poisson,15,ecapa_tdnn,0.15226079014158592,savgol,25
poisson,15,redimnet,0.16728317862006645,savgol,25
poisson,20,campplus,0.19524683551946492,savgol,25
poisson,20,ecapa_tdnn,0.1472819175566773,savgol,25
poisson,20,redimnet,0.163960504606457,savgol,25
poisson,5,campplus,0.22528360613032106,savgol,25
poisson,5,ecapa_tdnn,0.18010220457095838,savgol,25
poisson,5,redimnet,0.21228245842208948,savgol,25
rayleigh,0,campplus,0.2629799892804924,savgol,25
rayleigh,0,ecapa_tdnn,0.20312250185936612,savgol,25
rayleigh,0,redimnet,0.23658355144515922,savgol,25
rayleigh,10,campplus,0.2170009863073265,savgol,25
rayleigh,10,ecapa_tdnn,0.16197612297941072,savgol,25
rayleigh,10,redimnet,0.18973420692445359,savgol,25
rayleigh,15,campplus,0.2003814481532064,savgol,25
rayleigh,15,ecapa_tdnn,0.15122440469112147,savgol,25
rayleigh,15,redimnet,0.177444910334278,savgol,25
rayleigh,20,campplus,0.19336268000644263,savgol,25
rayleigh,20,ecapa_tdnn,0.14590228286121396,savgol,25
rayleigh,20,redimnet,0.16844641435075286,savgol,25
rayleigh,5,campplus,0.24255416016073475,savgol,25
rayleigh,5,ecapa_tdnn,0.17905357708385283,savgol,25
rayleigh,5,redimnet,0.20860621974070698,savgol,25
